name,html_url
ashutosh1919,https://github.com/gatsbyjs/gatsby/issues/22194
HMartyrossian,https://github.com/microsoft/perfview/issues/698
PeterSenpai,https://github.com/elastic/eui/issues/3044
Argon1999,https://github.com/mosdef-hub/gmso/issues/348
fernandocamargoai,https://github.com/RaRe-Technologies/gensim/issues/2090
jeremiedbb,https://github.com/scikit-learn/scikit-learn/issues/11247
leomikezee,https://github.com/xi-editor/xi-editor/issues/703
DinosXa,https://github.com/TroyTae/game-of-life/issues/715
lopusz,https://github.com/RaRe-Technologies/gensim/issues/2086
dhilmathy,https://github.com/python/pythondotorg/issues/1281
tclaes,https://github.com/netlify/netlify-cms/issues/3399
wowry,https://github.com/scikit-learn/scikit-learn/issues/11198
partmor,https://github.com/scikit-learn/scikit-learn/issues/11185
jackson-elfers,https://github.com/taniarascia/takenote/issues/272
lshostenko,https://github.com/RaRe-Technologies/gensim/issues/2075
lyhe18,https://github.com/QuarkChain/pyquarkchain/issues/826
allenanswerzq,https://github.com/ray-project/ray/issues/7298
nonara,https://github.com/LeDDGroup/typescript-transform-paths/issues/48
johejo,https://github.com/oauth2-proxy/oauth2-proxy/issues/417
Rishabh-malhotraa,https://github.com/laurent22/joplin/issues/2573
annaayzenshtat,https://github.com/scikit-learn/scikit-learn/issues/11128
FSund,https://github.com/PointCloudLibrary/pcl/issues/3667
JamesTrick,https://github.com/scikit-learn/scikit-learn/issues/11111
allforme3,https://github.com/GameTactic/Room/issues/91
graywolf,https://github.com/hanami/hanami/issues/933
jaybatra26,https://github.com/cortexproject/cortex/issues/2173
AyoAlfonso,https://github.com/mozilla/neqo/issues/469
mohanish3,https://github.com/Devsoc-BPGC/Events/issues/11
hsqlu,https://github.com/pingcap/tidb-operator/issues/1753
JohnRawlins,https://github.com/nukeop/nuclear/issues/659
FawziyahAlebiosu,https://github.com/commons-app/apps-android-commons/issues/3428
ysc3839,https://github.com/Dreamacro/clash/issues/531
sameshl,https://github.com/brainiak/brainiak/issues/369
viviicat,https://github.com/tuskyapp/Tusky/issues/620
d4rky-pl,https://github.com/dry-rb/dry-cli/issues/35
pposca,https://github.com/aio-libs/aiohttp/issues/2968
marsggbo,https://github.com/microsoft/nni/issues/2091
FedericoJurio,https://github.com/PyAr/pyarweb/issues/413
dethi,https://github.com/kubernetes/website/issues/19267
jorge-vasquez-2301,https://github.com/ghostdogpr/caliban/issues/238
